파일명,도감번호,이름,학명,과,개화기_초안,희귀도_초안,상태
0219_가는잎금방망이.png,219,가는잎금방망이,Senecio inaequidens,Asteraceae,,귀함,미납품
0220_가는잎미선콩.png,220,가는잎미선콩,Lupinus angustifolius,Fabaceae,,귀함,미납품
0221_가는잎산들깨.png,221,가는잎산들깨,Mosla chinensis,Lamiaceae,9~10월,보통,미납품
0222_가는잎소리쟁이.png,222,가는잎소리쟁이,Rumex stenophyllus,Polygonaceae,,보통,미납품
0223_가는잎쑥.png,223,가는잎쑥,Artemisia subulata,Asteraceae,,귀함,미납품
0224_가는잎조팝나무.png,224,가는잎조팝나무,Spiraea thunbergii,Rosaceae,,보통,미납품
0225_가는잎털냉이.png,225,가는잎털냉이,Sisymbrium altissimum,Brassicaceae,,귀함,미납품
0226_가는잎푸른딱지꽃.png,226,가는잎푸른딱지꽃,Potentilla tanacetifolia,Rosaceae,,귀함,미납품
0227_가는잎한련초.png,227,가는잎한련초,Eclipta alba,Asteraceae,,보통,미납품
0228_가는잎할미꽃.png,228,가는잎할미꽃,Pulsatilla cernua,Ranunculaceae,4~5월,흔함,미납품
0229_가는잎향유.png,229,가는잎향유,Elsholtzia angustifolia,Lamiaceae,,보통,미납품
0230_가는장구채.png,230,가는장구채,Silene yanoei,Caryophyllaceae,7~9월,흔함,미납품
0231_가는장대.png,231,가는장대,Dontostemon dentatus,Brassicaceae,,보통,미납품
0232_가는줄돌쩌귀.png,232,가는줄돌쩌귀,Aconitum volubile,Ranunculaceae,,귀함,미납품
0233_가막사리.png,233,가막사리,Bidens tripartita,Asteraceae,9~10월,흔함,미납품
0234_가막살나무.png,234,가막살나무,Viburnum dilatatum,Caprifoliaceae,4~7월,흔함,미납품
0235_가새잎개갓냉이.png,235,가새잎개갓냉이,Rorippa sylvestris,Brassicaceae,,보통,미납품
0236_가솔송.png,236,가솔송,Phyllodoce caerulea,Ericaceae,,귀함,미납품
0237_가시까치밥나무.png,237,가시까치밥나무,Ribes diacantha,Saxifragaceae,,귀함,미납품
0238_가시꽈리.png,238,가시꽈리,Physaliastrum echinatum,Solanaceae,,귀함,미납품
0239_가시박.png,239,가시박,Sicyos angulatus,Cucurbitaceae,8~9월,흔함,미납품
0240_가시상추.png,240,가시상추,Lactuca serriola,Asteraceae,5~8월,흔함,미납품
0241_가시여뀌.png,241,가시여뀌,Persicaria dissitiflora,Polygonaceae,6~9월,흔함,미납품
0242_가시연꽃.png,242,가시연꽃,Euryale ferox,Nymphaeaceae,,보통,미납품
